country,sector,emissions_mt,output,va_coeff,profit_coeff,wage_coeff,tax_coeff,standard_vabr_mt,profits_vabr_mt,change_mt,change_pct
AT,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",2.198060974807585,1323.50709211,0.7754175355389512,0.02266982279676845,0.09684150138898344,0.003035603450794417,1.7044150240496423,0.049829652795380076,-1.6545853712542622,-97.07643666053903
AT,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",0.3507699131195406,1158.50041112,0.577528321749699,0.010784883180939859,0.045706222104996086,0.004811026437790945,0.202579559244216,0.0037830125363826693,-0.19879654670783337,-98.13257934290294
AT,Mining of iron ores,0.007179537492667534,21.0171689083,0.5501851546488957,0.009722372099664875,0.07634838316469486,0.009792216800081223,0.003950074945710832,6.980213500720875e-05,-0.0038802728107036237,-98.23289087000734
AT,Mining of other non-ferrous metal ores and concentrates,0.029444364051338396,1164.35960595,0.47739213217722154,0.016186884511269574,0.13900345485392093,0.0,0.01405650773507077,0.0004766125204067921,-0.013579895214663977,-96.60931058133558
AT,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",0.007463395262930811,110.299967026,0.49673496686172974,0.01612570525982779,0.017952228876852175,0.017800856038217832,0.0037073293986079276,0.00012035251224761718,-0.00358697688636031,-96.75366013355034
AT,Petroleum Refinery,2.238068978337977,7739.27533478,0.18344367916245194,0.14498784050327335,0.023341823698398653,0.004240862936172174,0.4105596076056685,0.32449278806659054,-0.08606681953907791,-20.96329447531594
AT,Production of electricity by coal,1.3174678649860352,138.879101075,0.004952039643855753,0.00023040776535354602,0.0035276637066408234,1.7599087081144547e-05,0.006524153096916846,0.0003035548266965397,-0.006220598270220304,-95.34721484632247
AT,Production of electricity by petroleum and other oil derivatives,0.004757501098399264,43.2873599977,0.008049560898343164,0.0009393481025283246,0.004932700242672115,0.0,3.829579481549937e-05,4.468949629557769e-06,-3.3826845185941604e-05,-88.33044293482305
BE,Mining of coal and lignite; extraction of peat (10),0.06489455891142867,15.5628929671,0.059858476409843785,-2.811448240028165e-05,0.05989785793124321,0.0,0.003884489423726971,-1.824476934389402e-06,-0.00388631390066136,-100.0469682559372
BE,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",2.6369845555327895,4.02404841451e-06,0.9993364822208967,0.0,0.9993364822208967,0.0,2.6352348693969723,0.0,-2.6352348693969723,-100.0
BE,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",2.432288285106406,7.03028390441,0.0007873313812742141,0.00030852228923349977,0.00023956419314766534,0.00011672725377765084,0.001915016895169916,0.0007504151497968516,-0.0011646017453730642,-60.814176016433066
BE,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.04547377668365587,25.0142584882,0.13654310987361903,0.05952869883080639,0.05811439100542397,0.0,0.0062091308860848385,0.0027069947569006957,-0.003502136129184143,-56.40300057183061
BE,Mining of other non-ferrous metal ores and concentrates,0.0003342272665251604,1.91987913689,0.5360021080629516,-0.0001421997634612777,0.5355269832210838,0.0,0.00017914651942960394,-4.7527038242187225e-08,-0.0001791940464678461,-100.02652970227584
BE,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",0.016924859126733124,154.477434123,0.19563519430864493,0.030658238848070438,0.11151949342920275,0.026099551343270983,0.0033110981039048775,0.000518886373577329,-0.0027922117303275486,-84.3288734645044
BE,Petroleum Refinery,15.334910097023618,27524.494508,0.061427556051853724,0.022297472307424945,0.029215654245002567,0.007171176224421873,0.9419860495350558,0.3419297332252353,-0.6000563163098206,-63.70118926984063
BE,Production of electricity by coal,0.0114820996727508,1.0540637348,0.35194980038451185,0.024503600817649535,0.2722967543378763,0.0003836297254735986,0.004041122687819713,0.00028135278692955,-0.0037597699008901633,-93.0377568645077
BE,Production of electricity by petroleum and other oil derivatives,0.016259536342174214,1.0051094955,0.0002712531774455015,3.5955693273619065e-05,0.000185852850106041,0.0,4.410450896605363e-06,5.846229014904782e-07,-3.825827995114884e-06,-86.74460015096301
BG,Mining of coal and lignite; extraction of peat (10),2.006645426148762,425.487062388,0.6501590513170411,0.08213023216187351,0.33078544863522835,0.0,1.3046386865945587,0.16480625471615942,-1.139832431878399,-87.36767072680131
BG,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",0.03982088009472815,49.9651374003,0.040608381937605506,-0.00010129331279552555,0.036384967032835266,0.0037642959208768374,0.0016170615079783132,-4.033588863228415e-06,-0.0016210950968415416,-100.24943942103175
BG,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",0.2104434444157442,27.3958978879,0.2509546671914751,-6.326131428550337e-05,0.2212793158132437,0.028700876493384823,0.052811764555980766,-1.3312928876508255e-05,-0.052825077484857284,-100.02520826370495
BG,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.006065476643642389,138.40312688,0.016255377960070407,-1.1744874836602393e-06,0.01584049139469124,0.0,9.859661535038632e-05,-7.123826400391503e-09,-9.86037391767867e-05,-100.00722522408611
BG,Mining of copper ores and concentrates,0.06501472222360127,505.742166271,0.71402859510215,0.3522970668961929,0.24598236582895244,0.03995556588368794,0.04642237077027454,0.022904495944445456,-0.02351787482582909,-50.66065010382494
BG,Mining of precious metal ores and concentrates,0.03196963872547398,312.562011485,0.6394126676620174,0.32547665912971047,0.20389090322717723,0.04115765015870255,0.020441791981646255,0.010405371205951088,-0.01003642077569517,-49.097558495392235
