country,sector,emissions,em_intensity,va_coeff,profit_coeff,profit_minus_va,standard_vabr,profits_vabr,change
AT,"Wool, silk-worm cocoons",201.726022169261,896.9687996767017,0.026808959956184746,0.006928128053682957,-0.01988083190250179,5.408064850456155,1.3975837133487272,-4.010481137107427
AT,Manufacture of coke oven products,909057.0801663983,3272.2699041017067,0.0033803573810800348,0.002239528579660956,-0.0011408288014190787,3072.9378107635494,2035.85931157579,-1037.0784991877595
AT,Casting of metals,1409411.164183361,1087.2041802061567,0.08842475535595053,0.020341589131118186,-0.06808316622483235,124626.83738885912,28669.662818628884,-95957.17457023024
AT,Production of electricity by coal,1317467.8649860353,9486.437158565366,0.004952039643855753,0.00023040776535354602,-0.004721631878502206,6524.153096916845,303.5548266965397,-6220.598270220305
AT,Steam and hot water supply,2356900.1824725633,4124.777517674964,0.0002500073379975795,2.0045978175574716e-06,-0.000248002740180022,589.2423405459749,4.724636961985307,-584.5177035839896
AT,Sea and coastal water transport,31187.971046731756,883.9125884163889,0.10440645858061195,0.0002002822900232651,-0.10420617629058869,3256.225607303924,6.246398262418724,-3249.9792090415053
BE,"Cultivation of sugar cane, sugar beet",335158.4862388736,1426.5202562932811,0.10301013280057617,0.22757345468513202,0.12456332188455585,34524.720176706454,76273.17458041974,41748.454403713295
BE,Cattle farming,3691864.2184040993,2589.729482825942,0.0,0.09613007082286062,0.09613007082286062,0.0,354899.16878357105,354899.16878357105
BE,Mining of coal and lignite; extraction of peat (10),64894.55891142867,4169.826204460569,0.059858476409843785,-2.811448240028165e-05,-0.05988659089224407,3884.489423726971,-1.824476934389402,-3886.31390066136
BE,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",2432288.2851064056,345972.9817711437,0.0007873313812742141,0.00030852228923349977,-0.0004788090920407143,1915.0168951699159,750.4151497968517,-1164.6017453730642
BE,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",45473.776683655866,1817.9142389972205,0.13654310987361903,0.05952869883080639,-0.07701441104281265,6209.1308860848385,2706.994756900696,-3502.1361291841426
BE,Manufacture of coke oven products,180638.6546213198,1819.345639290477,0.13484136228697716,0.0707187626665518,-0.06412259962042535,24357.56227082552,12774.542144570336,-11583.020126255187
BE,Production of electricity by petroleum and other oil derivatives,16259.536342174215,16176.880643323118,0.0002712531774455015,3.5955693273619065e-05,-0.00023529748417188242,4.410450896605362,0.5846229014904781,-3.825827995114884
BE,"Composting of paper and wood, incl. land application",5.480435310960001,1361920.8186458517,0.0,0.0,0.0,0.0,0.0,0.0
BE,Landfill of waste: Food,2815075.6089599594,15834.290766876864,5.6261933204645915e-14,-0.006633715803008922,-0.006633715803065184,1.5838159587733315e-07,-18674.411553822647,-18674.41155398103
BE,Landfill of waste: Paper,623582.1186026719,3878.395612196794,0.0,-0.007049551474161822,-0.007049551474161822,0.0,-4395.974243456418,-4395.974243456418
BE,Landfill of waste: Plastic,266990.3836781789,1661.2008191002565,1.2442105024344012e-13,-0.007168288615838108,-0.007168288615962529,3.321922394213805e-08,-1913.8641278585383,-1913.8641278917576
BE,Landfill of waste: Textiles,261543.04653892695,13379.06684982644,0.0,-0.012979817306829062,-0.012979817306829062,0.0,-3394.7809619467625,-3394.7809619467625
BE,Landfill of waste: Wood,47109.309456584626,989.8582853065018,1.2606539029372914e-13,-0.005672411086075814,-0.005672411086201879,5.9388534831124054e-09,-267.2233692189068,-267.2233692248456
BG,Cultivation of wheat,1594230.012590136,1813.1834021554923,0.034532385458190686,-0.05635542765357413,-0.09088781311176482,55052.56530377876,-89843.51413767999,-144896.07944145874
BG,Cultivation of plant-based fibers,14549.708469643097,3261.67282236471,0.03829767683930843,-0.035470034042697364,-0.07376771088200579,557.2200330765402,-516.0786547295628,-1073.2986878061029
BG,Cattle farming,237334.50649996396,2523.3910244192916,0.10887882758536419,0.06569776604506104,-0.04318106154030314,25840.70281326707,15592.34688245465,-10248.35593081242
BG,Raw milk,1467252.2444369115,4310.441994148856,0.07648528527986341,0.0,-0.07648528527986341,112223.20649327706,0.0,-112223.20649327706
BG,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",39820.88009472815,796.9732931123502,0.040608381937605506,-0.00010129331279552555,-0.040709675250401034,1617.061507978313,-4.033588863228415,-1621.0950968415416
BG,Manufacture of coke oven products,15696.843979401317,4748.591982742101,0.12615038152917155,0.0,-0.12615038152917155,1980.1628568053554,0.0,-1980.1628568053554
BG,N-fertiliser,175378.94741719172,981003.795533511,0.005529008746660637,7.953005139087546e-05,-0.005449478695269762,969.671734249789,13.947896700966902,-955.7238375488221
BG,Chemicals nec,1069599.1548184224,1448.9280404005465,0.12214949768667255,0.04175208535572886,-0.08039741233094369,130650.9994871598,44657.99520839422,-85993.00427876558
BG,Casting of metals,267542.8985433483,962.1531703856544,0.00996186609957742,0.0010206692081107904,-0.00894119689146663,2665.2265311816627,273.0727983919048,-2392.1537327897577
BG,Production of electricity by coal,19010039.89347816,27192.565344610288,0.05610959036282772,0.007773789621175905,-0.048335800741651815,1066645.5512040725,147780.0508220604,-918865.5003820122
BG,Production of electricity by gas,439145.51289964176,2539.014987671898,0.005374412439198287,0.001962981062352653,-0.0034114313768456345,2360.149107145947,862.0343254391395,-1498.1147817068072
BG,Production of electricity by petroleum and other oil derivatives,48184.24813106642,1968.5214145274606,0.029133035458166263,-0.00050755898057352,-0.029640594438739783,1403.7534093274396,-24.456347861105613,-1428.2097571885452
